N_ID,ID,Cast,Director,Producer
283,10306,"Tom Skerritt , Nancy Allen , Heather O'Rourke",Gary Sherman,Barry Bernardi
284,10307,"Patricia Arquette , Gabriel Byrne , Jonathan Pryce",Rupert Wainwright,Frank Mancuso Jr.
285,10308,"Lilith Ungerer , Kurt Raab , Lilo Pempeit",Rainer Werner Fassbinder,
286,10309,"Hans Hirschmüller , Irm Hermann , Hanna Schygulla",Rainer Werner Fassbinder,
287,10310,"Margit Carstensen , Hanna Schygulla , Katrin Schaake",Rainer Werner Fassbinder,Rainer Werner Fassbinder
288,10311,"Karlheinz Böhm , Margit Carstensen , Barbara Valentin",Rainer Werner Fassbinder,Peter Märthesheimer
289,10312,"Robin Williams , Philip Seymour Hoffman , Bob Gunton",Tom Shadyac,Barry Kemp
290,10313,"George Clooney , Ewan McGregor , Jeff Bridges",Grant Heslov,George Clooney
291,10314,"Freddie Prinze Jr. , Rachael Leigh Cook , Paul Walker",Robert Iscove,Richard N. Gladstein
292,10315,"George Clooney , Meryl Streep , Jason Schwartzman",Wes Anderson,Scott Rudin
293,10316,"George Clooney , Ryan Gosling , Philip Seymour Hoffman",George Clooney,George Clooney
294,10317,"Sandra Bullock , Anthony Mackie , Billy Bob Thornton",David Gordon Green,George Clooney
295,10319,"Klaus Kinski , Eva Mattes , Wolfgang Reichmann",Werner Herzog,Joschi Arpa
296,10320,"Naomi Watts , Simon Baker , Elizabeth Perkins",Hideo Nakata,Walter F. Parkes
297,10322,"Peter Sellers , Shirley MacLaine , Melvyn Douglas",Hal Ashby,Charles Mulvehill
298,10323,"Harry Hamlin , Laurence Olivier , Claire Bloom",Desmond Davis,Ray Harryhausen
299,10324,"Sarah Jessica Parker , Eric Schaeffer , Ben Stiller",Eric Schaeffer,Brad Krevoy
300,10326,"Mel Gibson , Jamie Lee Curtis , Elijah Wood",Steve Miner,Bruce Davey
301,10327,"Reese Witherspoon , Sally Field , Regina King",Charles Herman-Wurmfeld,Marc Platt
302,10328,"Steve Guttenberg , Tahnee Welch , Brian Dennehy",Ron Howard,Richard D. Zanuck
303,10329,"Laura Linney , Dylan Walsh , Ernie Hudson",Frank Marshall,Sam Mercer
304,10330,"Lindsay Lohan , Jamie Lee Curtis , Mark Harmon",Mark Waters,Andrew Gunn
305,10331,"Duane Jones , Judith O'Dea , Karl Hardman",George A. Romero,Russell Streiner
306,10333,"Nick Nolte , Barbra Streisand , Blythe Danner",Barbra Streisand,Barbra Streisand
307,10335,"Catalina Sandino Moreno , Sienna Guillory , Philip Winchester",Antonio Cuadri,
308,10336,"Michael Jai White , Martin Sheen , John Leguizamo",Mark A.Z. Dippé,Clint Goldman
309,10337,"Warren Beatty , Annette Bening , Harvey Keitel",Barry Levinson,Barry Levinson
310,10338,"Stuart Whitman , Sarah Miles , James Fox",Ken Annakin,Stan Margulies
311,10339,"Gregory Peck , Richard Basehart , Leo Genn",John Huston,John Huston
312,10340,"Barbara Luddy , Larry Roberts , Peggy Lee",Hamilton Luske,Walt Disney
313,10341,"William Hurt , Solveig Dommartin , Chick Ortega",Wim Wenders,Jonathan T. Taplin
314,10342,"Helen Mirren , Katie Holmes , Jeffrey Tambor",Kevin Williamson,Paul Hellerman
315,10344,"Eric Stoltz , Daphne Zuniga , Lee Richardson",Chris Walas,Steven-Charles Jaffe
316,10345,"Jim Belushi , Mel Harris , Kevin Tighe",Rod Daniel,Lawrence Gordon
317,10347,"Vincent Cassel , Tchéky Karyo , Monica Bellucci",Jan Kounen,Éric Névé
318,10348,"Jackie Chan , Anita Yuen , Michael Wong Man-Tak",Gordon Chan,Jackie Chan
319,10349,"Timothy Hutton , Amy Madigan , Michael Rooker",George A. Romero,Declan Baldwin
320,10350,"Freddie Prinze Jr. , Saffron Burrows , Matthew Lillard",Christopher Roberts,Donna Burkons
321,10351,"Angus Scrimm , Andrew Divoff , Tammy Lauren",Robert Kurtzman,Clark Peterson
322,10353,"Christian Clavier , Jean Reno , Marie-Anne Chazel",Jean-Marie Poiré,Alain Terzian
323,10354,"Clint Eastwood , Isaiah Washington , LisaGay Hamilton",Clint Eastwood,Clint Eastwood
324,10355,"Han Suk-kyu , Choi Min-sik , Yunjin Kim",Kang Je-gyu,Byun Moo-Rim
325,10356,"Christian Slater , Molly Parker , Stephen Rea",Lewin Webb,Gary Howsam
326,10357,"Tommy Lee Jones , Anne Heche , Gaby Hoffmann",Mick Jackson,Neal H. Moritz
327,10358,"Seth Rogen , Elizabeth Banks , Craig Robinson",Kevin Smith,Scott Mosier
328,10359,"Christopher Lambert , Leland Orser , Barbara Tyson",Russell Mulcahy,Christopher Lambert
329,10360,"Michael Fassbender , Stuart Graham , Liam Cunningham",Steve McQueen,Robin Gutch
330,10361,"Emily Perkins , Tatiana Maslany , Katharine Isabelle",Brett Sullivan,Steven Hoban
331,10362,"Joaquin Phoenix , Gwyneth Paltrow , Vinessa Shaw",James Gray,Donna Gigliotti
332,10363,"Alain Delon , Maurice Ronet , Marie Laforêt",René Clément,Raymond Hakim
333,10364,"Alan Arkin , Martin Balsam , Richard Benjamin",Mike Nichols,Martin Ransohoff
334,10366,"Jean-Claude Van Damme , Kiana Tom , Bill Goldberg",Mic Rodgers,Craig Baumgarten
335,10367,"Susan Ward , Leila Arcieri , Isaiah Washington",Jack Perez,Marc Bienstock
336,10368,"Joan Plowright , Maggie Smith , Cher",Franco Zeffirelli,Clive Parsons
337,10369,"Kai Wiesinger , Michael Mendl , Katharina Meinecke",Roland Suso Richter,
338,10370,"Christopher Stacey , Ingid Fischer , Olaf Ittenbach",Olaf Ittenbach,Olaf Ittenbach
339,10371,"Tim Allen , Kirstie Alley , Wayne Knight",Bryan Spicer,Michael S. Glick
340,10372,"Wilford Brimley , Warwick Davis , Aubree Miller",Jim Wheat,George Lucas
341,10373,"Phil Daniels , Leslie Ash , Phil Davis",Franc Roddam,Roy Baird
342,10374,"Herbert Knaup , Corinna Harfouch , Richy Müller",Sherry Hormann,Kirsten Hager
343,10375,"Sylvester Stallone , Charles S. Dutton , Polly Walker",Jim Gillespie,Karen Kehela Sherwood
344,10376,"Tim Roth , Pruitt Taylor Vince , Mélanie Thierry",Giuseppe Tornatore,
345,10377,"Joe Pesci , Ralph Macchio , Marisa Tomei",Jonathan Lynn,Dale Launer
346,10378,"None , None , None",Sacha Goedegebure,Ton Roosendaal
347,10379,"Phoebe Cates , Rik Mayall , Marsha Mason",Ate de Jong,Paul Webster
348,10380,"Phillip Glasser , James Stewart , Erica Yohn",Simon Wells,Steven Spielberg
349,10381,"Jonny Lee Miller , Robert Carlyle , Liv Tyler",Jake Scott,Tim Bevan
350,10383,"Winona Ryder , Ben Chaplin , Sarah Wynter",Janusz Kamiński,Meg Ryan
351,10384,"James Spader , Angela Bassett , Robert Forster",Walter Hill,Ash R. Shah
352,10385,"Lisa Kudrow , Meg Ryan , Diane Keaton",Diane Keaton,Nora Ephron
353,10386,"Jennifer Aniston , Harry Connick Jr. , Vin Diesel",Brad Bird,Allison Abbate
354,10387,"Gong Li , Zhang Fengyi , Sun Zhou",Chen Kaige,
355,10388,"Terence Stamp , Lesley Ann Warren , Luis Guzmán",Steven Soderbergh,John Hardy
356,10389,"Angelica Lee , Lawrence Chou , Chutcha Rujinanon",Danny Pang,Eric Tsang
357,10390,"Kevin Costner , Kelly Preston , John C. Reilly",Sam Raimi,Amy Robinson
358,10391,"Kim Basinger , Angela Bettis , Holliston Coleman",Chuck Russell,Mace Neufeld
359,10392,"Wolfgang Völz , Edgar Hoppe , Helge Schneider",Hayo Freitag,Michael Schaack
360,10393,"Keanu Reeves , Gene Hackman , Brooke Langton",Howard Deutch,Dylan Sellers
361,10394,"Paul Bettany , Malcolm McDowell , David Thewlis",Paul McGuigan,Jonathan Cavendish
362,10395,"Jack Nicholson , Michelle Pfeiffer , Christopher Plummer",Mike Nichols,Douglas Wick
363,10396,"Mel Gibson , Michelle Pfeiffer , Kurt Russell",Robert Towne,Thom Mount
364,10397,"Emily Watson , Robert Carlyle , Joe Breen",Alan Parker,Scott Rudin
365,10398,"Tommy Lee Jones , Ashley Judd , Bruce Greenwood",Bruce Beresford,Leonard Goldberg
366,10399,"Frances O'Connor , Lindsay Duncan , James Purefoy",Patricia Rozema,Sarah Curtis
367,10400,"Denzel Washington , Vicellous Reon Shannon , Deborah Kara Unger",Norman Jewison,Norman Jewison
368,10401,"Vanessa Paradis , Daniel Auteuil , Demetre Georgalas",Patrice Leconte,Christian Fechner
369,10402,"Rob Schneider , William Forsythe , Eddie Griffin",Mike Mitchell,Barry Bernardi
370,10403,"Tim Robbins , Greta Scacchi , Fred Ward",Robert Altman,David Brown
371,10404,"Gong Li , Ma Jingwu , He Saifei",Zhang Yimou,Chiu Fu-Sheng
372,10406,"Brendan Fraser , Pauly Shore , Sean Astin",Les Mayfield,George Zaloom
373,10407,"Steve Martin , Goldie Hawn , Dana Delany",Frank Oz,Brian Grazer
374,10408,"Huub Stapel , Nelly Frijda , Tatjana Simić",Dick Maas,Dick Maas
375,10409,"Paul Mercurio , Tara Morice , Bill Hunter",Baz Luhrmann,Tristram Miall
376,10410,"Jack Nicholson , Danny DeVito , Armand Assante",Danny DeVito,Danny DeVito
377,10411,"Eddie Murphy , Lane Smith , Sheryl Lee Ralph",Jonathan Lynn,Leonard Goldberg
378,10412,"Russell Crowe , Daniel Pollock , Jacqueline McKenzie",Geoffrey Wright,Ian Pringle
379,10413,"Jean-Claude Van Damme , Rosanna Arquette , Kieran Culkin",Robert Harmon,Gary Adelson
380,10414,"Emilio Estevez , Joss Ackland , Lane Smith",Stephen Herek,Jon Avnet
381,10415,"Katja Flint , Herbert Knaup , Heino Ferch",Joseph Vilsmaier,Joseph Vilsmaier
382,10416,"Garry Shandling , Annette Bening , John Goodman",Mike Nichols,Mike Nichols
383,10417,"Sebastian Koch , Ulrich Tukur , Hardy Krüger Jr.",Jo Baier,Bettina Ricklefs
384,10418,"Matthias Schweighöfer , Teresa Weißbach , Robert Dölle",Martin Weinhart,Uschi Reich
385,10419,"Robert Sean Leonard , Christian Bale , Frank Whaley",Thomas Carter,Mark Gordon
386,10420,"Mirjana Karanović , Andrea Zogg , Marija Škaričić",Andrea Štaka,Samir
387,10421,"Yvette Etiévant , Michel Galabru , Michel Isella",Yves Robert,Danièle Delorme
388,10422,"Katja Riemann , Nina Kronjäger , Gedeon Burkhard",Katja von Garnier,Ewa Karlström
389,10423,"Jason Scott Lee , Lauren Holly , Robert Wagner",Rob Cohen,Raffaella De Laurentiis
390,10424,"Andy García , Lance Henriksen , Uma Thurman",Bruce Robinson,Gary Lucchesi
391,10425,"Paul Walker , Laurence Fishburne , Olivia Wilde",John Herzfeld,Paul Walker
392,10426,"Ice Cube , Mike Epps , John Witherspoon",Marcus Raboy,Ice Cube
393,10427,"Nicolas Cage , Dennis Hopper , Lara Flynn Boyle",John Dahl,Steve Golin
394,10428,"Jonny Lee Miller , Angelina Jolie , Jesse Bradford",Iain Softley,Ralph Winter
395,10429,"Skeet Ulrich , Angela Featherstone , Donal Logue",Joe Chappelle,John Thompson
396,10431,"Jet Li , Jason Statham , John Lone",Philip G. Atwell,Steve Chasman
397,10432,"Danica McKellar , Jay Kenneth Johnson , William Forsythe",Matt Flynn,Kim Eva Matuka
398,10433,"Robert De Niro , Uma Thurman , Bill Murray",John McNaughton,Martin Scorsese
399,10434,"Otto Sander , Bruno Ganz , Nastassja Kinski",Wim Wenders,Wim Wenders
400,10435,"Robert Downey Jr. , Geraldine Chaplin , Paul Rhys",Richard Attenborough,Mario Kassar
401,10436,"Daniel Day-Lewis , Michelle Pfeiffer , Winona Ryder",Martin Scorsese,Barbara De Fina
402,10437,"Michael Caine , Dave Goelz , Steve Whitmire",Brian Henson,Martin G. Baker
403,10438,"Charles Grodin , Bonnie Hunt , Nicholle Tom",Rod Daniel,Michael C. Gross
404,10439,"Bette Midler , Sarah Jessica Parker , Kathy Najimy",Kenny Ortega,Steven Haft
405,10440,"Woody Allen , Diane Keaton , Jerry Adler",Woody Allen,Robert Greenhut
406,10442,"Mike Myers , Nancy Travis , Anthony LaPaglia",Thomas Schlamme,Cary Woods
407,10443,"Jeff Bridges , Isabella Rossellini , Rosie Perez",Peter Weir,Paula Weinstein
408,10444,"Gert Fröbe , Senta Berger , Helmut Schmid",Werner Klingler,Artur Brauner
409,10445,"Anthony Hopkins , Debra Winger , John Wood",Richard Attenborough,Richard Attenborough
410,10446,"John Rhys-Davies , Rick Overton , Michael Des Barres",Klaus Knoesel,Thomas Wöbke
411,10447,"Ray Liotta , Lance Henriksen , Stuart Wilson",Martin Campbell,Gale Anne Hurd
412,10448,"Jason Scott Lee , Esai Morales , Sandrine Holt",Kevin Reynolds,Kevin Costner
413,10449,"Andy García , Meg Ryan , Tina Majorino",Luis Mandoki,Jon Avnet
414,10450,"Ezio Greggio , Dom DeLuise , Billy Zane",Ezio Greggio,Ezio Greggio
415,10451,"Sihung Lung , Yang Kuei-Mei , Wu Chien-Lien",Ang Lee,Kong Hsu
416,10452,"Isabelle Adjani , Daniel Auteuil , Jean-Hugues Anglade",Patrice Chéreau,Claude Berri
417,10458,"Joachim Król , Nadja Uhl , Christian Berkel",Mennan Yapo,Tom Tykwer
418,10461,"Sylvester Stallone , Miranda Richardson , Rachael Leigh Cook",Stephen T. Kay,Neil Canton
419,10462,"Ed Herlihy , Josef Sommer , Robert Stanton",Woody Allen,Robert Greenhut
420,10463,"Laura Tonke , Stefan Cammann , Gustaw Barwicki",Michael Klier,Michael Klier
421,10464,"Whoopi Goldberg , Ray Liotta , Tina Majorino",Jessie Nelson,Steve Tisch
422,10466,"Tom Hanks , Shelley Long , Alexander Godunov",Richard Benjamin,Kathleen Kennedy
423,10467,"Anthony Hopkins , Bridget Fonda , Matthew Broderick",Alan Parker,Robert F. Colesberry
424,10468,"Sandra Bullock , Viggo Mortensen , Dominic West",Betty Thomas,Celia D. Costas
425,10469,"Josef Hader , Simon Schwarz , Barbara Rudnik",Wolfgang Murnberger,Danny Krausz
426,10470,"Klaus Büchner , Andi Feldmann , Otto Sander",Michael Schaack,Bernd Eichinger
427,10471,"Ice Cube , Mike Epps , Justin Pierce",Steve Carr,
428,10472,"Freddie Prinze Jr. , Julia Stiles , Selma Blair",Kris Isacsson,Jason Kliot
429,10473,"Christopher Masterson , Harry Van Gorkum , Rona Figueroa",Doug Lefler,
430,10474,"Leonardo DiCaprio , Lorraine Bracco , James Madio",Scott Kalvert,John Bard Manulis
431,10475,"Matt Dillon , Lili Taylor , Marisa Tomei",Bent Hamer,Jim Stark
432,10476,"Terrence Howard , Anthony Anderson , Taryn Manning",Craig Brewer,John Singleton
433,10477,"Sylvester Stallone , Burt Reynolds , Kip Pardue",Renny Harlin,Sylvester Stallone
434,10478,"Kevin Costner , Rene Russo , Don Johnson",Ron Shelton,David V. Lester
435,10479,"Tommy Lee Jones , Samuel L. Jackson , Guy Pearce",William Friedkin,Richard D. Zanuck
436,10480,"Renée Zellweger , Morgan Freeman , Chris Rock",Neil LaBute,Steve Golin
437,10481,"Glenn Close , Ioan Gruffudd , Alice Evans",Kevin Lima,Edward S. Feldman
438,10482,"Rik Mayall , Adrian Edmondson , Bill Nighy",Adrian Edmondson,Phil McIntyre
439,10483,"Jason Statham , Joan Allen , Ian McShane",Paul W. S. Anderson,Paul W. S. Anderson
440,10484,"Pierre Richard , Gérard Depardieu , Anny Duperey",Francis Veber,Gérard Depardieu
441,10485,"Bill Cosby , Kimberly Russell , Denise Nicholas",Sidney Poitier,Terence Nelson
442,10486,"Gérard Depardieu , Katherine Heigl , Dalton James",Steve Miner,
443,10487,"Werner Enke , Uschi Glas , Henry van Lyck",May Spils,Peter Schamoni
444,10488,"Abigail Breslin , Jodie Foster , Gerard Butler",Jennifer Flackett,Paula Mazur
445,10489,"Dee Wallace , Danny Pintauro , Daniel Hugh Kelly",Lewis Teague,Daniel H. Blatt
446,10490,"Kirsten Dunst , Ellen Barkin , Denise Richards",Michael Patrick Jann,Gavin Polone
447,10491,"Dougray Scott , Kate Winslet , Saffron Burrows",Michael Apted,Mick Jagger
448,10492,"Valerie Niehaus , Xaver Hutter , Alexandra Neldel",Michael Karen,Rikolt von Gagern
449,10493,"Nicole Kidman , Sam Neill , Billy Zane",Phillip Noyce,Terry Hayes
450,10494,"Junko Iwao , Rica Matsumoto , Shinpachi Tsuji",Satoshi Kon,Hiroaki Inoue
451,10495,"Ralph Macchio , Pat Morita , Robyn Lively",John G. Avildsen,Jerry Weintraub
452,10496,"Lou Diamond Phillips , Dina Meyer , Bob Gunton",Louis Morneau,Louise Rosner-Meyer
453,10497,"Hugh Grant , Kristin Scott Thomas , Emmanuelle Seigner",Roman Polanski,Roman Polanski
454,10498,"Bridget Fonda , Gabriel Byrne , Dermot Mulroney",John Badham,Art Linson
455,10499,"Bibiana Beglau , Nadja Uhl , Martin Wuttke",Volker Schlöndorff,Arthur Hofer
456,10500,"Hannelore Elsner , Vadim Glowna , Michael Gwisdek",Oskar Roehler,Ulrich Caspar
457,10501,"Kenneth Branagh , Kevin Kline , Rosie Perez",Bibo Bergeron,Brooke Breton
458,10502,"Mel Gibson , Nick Stahl , Margaret Whitton",Mel Gibson,Bruce Davey
459,10503,"Sally Hawkins , Alexis Zegerman , Eddie Marsan",Mike Leigh,Simon Channing Williams
460,10505,"Max Riemelt , Jasmin Schwiers , Uwe Ochsenknecht",Adnan Köse,Fritjof Hohagen
461,10506,"Maria Bethânia , Caetano Veloso , Gilberto Gil",Georges Gachot,Georges Gachot
462,10507,"None , None , None",Gerd Kroske,Gerd Kroske
463,10509,"Ilya Van Malderghem , Filip Peeters , Joke Devynck",Jan Verheyen,Dirk Impens
464,10510,"Richard Attenborough , Dylan McDermott , Mara Wilson",Les Mayfield,John Hughes
465,10511,"Paddy Considine , Samantha Morton , Sarah Bolger",Jim Sheridan,Arthur Lappin
466,10513,"Gregory Walcott , Mona McKinnon , Duke Moore",Edward D. Wood Jr.,Edward D. Wood Jr.
467,10514,"Arthur Hill , David Wayne , James Olson",Robert Wise,Robert Wise
468,10515,"Keiko Yokozawa , Mayumi Tanaka , Minori Terada",Hayao Miyazaki,Isao Takahata
469,10516,"Louis de Funès , Michel Galabru , Maurice Risch",Jean Girault,Gérard Beytout
470,10518,"Dustin Hoffman , Laurence Olivier , Roy Scheider",John Schlesinger,Robert Evans
471,10519,"Ulrich Noethen , Sebastian Koch , Piet Klocke",Tomy Wigand,Christoph Holch
472,10520,"Melonie Diaz , Nicole Vicius , Guinevere Turner",Jamie Babbit,Andrea Sperling
473,10521,"Kate Hudson , Anne Hathaway , Bryan Greenberg",Gary Winick,Kate Hudson
474,10523,"Josh Brolin , Elizabeth Banks , Toby Jones",Oliver Stone,Moritz Borman
475,10524,"Sophie Marceau , Christopher Lambert , Nicolas Briançon",Sophie Marceau,Ariane Guez
476,10525,"Billy Crystal , Debra Winger , Joe Mantegna",Billy Crystal,Billy Crystal
